,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,energy_group,Week,24Hour
0,1,2020-06-01 00:00:00,8179.056,17.6,2.5,92.0,0.8,0.0,0,0,0,3,1,0
1,1,2020-06-01 01:00:00,8135.64,17.7,2.9,91.0,0.3,0.0,0,0,1,3,1,1
2,1,2020-06-01 02:00:00,8107.1280000000015,17.5,3.2,91.0,0.0,0.0,0,0,2,3,1,2
3,1,2020-06-01 03:00:00,8048.808000000001,17.1,3.2,91.0,0.0,0.0,0,0,3,3,1,3
4,1,2020-06-01 04:00:00,8043.624,17.0,3.3,92.0,0.0,0.0,0,0,4,3,1,4
5,1,2020-06-01 05:00:00,8010.576,16.9,3.4,93.0,0.0,0.0,0,0,5,3,1,5
6,1,2020-06-01 06:00:00,7978.175999999998,16.7,3.4,90.0,0.1,0.0,0,0,6,3,1,6
7,1,2020-06-01 07:00:00,8019.0,16.9,2.3,86.0,0.0,0.1,0,0,7,3,1,7
8,1,2020-06-01 08:00:00,8020.944,17.8,3.3,80.0,0.0,0.3,0,0,8,3,1,8
9,1,2020-06-01 09:00:00,8083.151999999999,19.3,2.1,73.0,0.0,0.7,0,0,9,3,1,9
10,1,2020-06-01 10:00:00,8116.2,20.5,3.4,62.0,0.0,1.0,0,0,10,3,1,10
11,1,2020-06-01 11:00:00,8104.536,22.1,3.6,52.0,0.0,1.0,0,0,11,3,1,11
12,1,2020-06-01 12:00:00,8088.984,23.1,4.0,49.0,0.0,1.0,0,0,12,3,1,12
13,1,2020-06-01 13:00:00,8102.592,23.1,5.1,42.0,0.0,1.0,0,0,13,3,1,13
14,1,2020-06-01 14:00:00,8088.335999999998,23.6,5.1,39.0,0.0,1.0,0,0,14,3,1,14
15,1,2020-06-01 15:00:00,8076.672,23.8,5.5,40.0,0.0,1.0,0,0,15,3,1,15
16,1,2020-06-01 16:00:00,8032.608,24.4,3.0,39.0,0.0,1.0,0,0,16,3,1,16
17,1,2020-06-01 17:00:00,8013.816,23.6,4.4,41.0,0.0,1.0,0,0,17,3,1,17
18,1,2020-06-01 18:00:00,8029.368,22.7,4.1,42.0,0.0,1.0,0,0,18,3,1,18
19,1,2020-06-01 19:00:00,8028.071999999999,21.3,4.2,44.0,0.0,1.0,0,0,19,3,1,19
20,1,2020-06-01 20:00:00,7994.376,19.8,2.5,51.0,0.0,0.4,0,0,20,3,1,20
21,1,2020-06-01 21:00:00,7974.936,18.6,2.5,55.0,0.0,0.0,0,0,21,3,1,21
22,1,2020-06-01 22:00:00,7972.991999999998,17.9,2.0,62.0,0.0,0.0,0,0,22,3,1,22
23,1,2020-06-01 23:00:00,7945.1280000000015,17.2,2.0,68.0,0.0,0.0,0,0,23,3,1,23
24,1,2020-06-02 00:00:00,7920.504,16.6,1.6,74.0,0.0,0.0,0,0,24,3,2,0
25,1,2020-06-02 01:00:00,7890.048000000002,16.2,0.8,77.0,0.0,0.0,0,0,25,3,2,1
26,1,2020-06-02 02:00:00,7868.016,15.9,1.1,78.0,0.0,0.0,0,0,26,3,2,2
27,1,2020-06-02 03:00:00,7847.28,15.7,0.4,78.0,0.0,0.0,0,0,27,3,2,3
28,1,2020-06-02 04:00:00,7799.328,15.5,0.9,79.0,0.0,0.0,0,0,28,3,2,4
29,1,2020-06-02 05:00:00,7801.92,14.8,1.3,79.0,0.0,0.0,0,0,29,3,2,5
30,1,2020-06-02 06:00:00,7784.424,15.0,2.2,79.0,0.0,0.0,0,0,30,3,2,6
31,1,2020-06-02 07:00:00,7836.911999999998,15.5,1.4,77.0,0.0,0.0,0,0,31,3,2,7
32,1,2020-06-02 08:00:00,7873.2,16.0,2.2,75.0,0.0,0.0,0,0,32,3,2,8
33,1,2020-06-02 09:00:00,7914.024,16.9,2.5,71.0,0.0,0.0,0,0,33,3,2,9
34,1,2020-06-02 10:00:00,7973.64,17.3,2.5,65.0,0.0,0.0,0,0,34,3,2,10
35,1,2020-06-02 11:00:00,7989.84,17.5,2.6,70.0,0.0,0.0,0,0,35,3,2,11
36,1,2020-06-02 12:00:00,7935.408,16.3,2.9,80.0,1.9,0.0,0,0,36,3,2,12
37,1,2020-06-02 13:00:00,7923.7440000000015,17.5,2.2,68.0,0.0,0.0,0,0,37,3,2,13
38,1,2020-06-02 14:00:00,7966.512,20.4,3.1,51.0,0.0,0.1,0,0,38,3,2,14
39,1,2020-06-02 15:00:00,7996.32,20.9,2.2,48.0,0.0,0.0,0,0,39,3,2,15
40,1,2020-06-02 16:00:00,8053.991999999998,21.7,2.5,46.0,0.0,0.1,0,0,40,3,2,16
41,1,2020-06-02 17:00:00,8061.12,21.2,3.3,55.0,0.0,0.0,0,0,41,3,2,17
42,1,2020-06-02 18:00:00,8059.175999999998,20.6,2.4,58.0,0.0,0.0,0,0,42,3,2,18
43,1,2020-06-02 19:00:00,8061.12,20.3,2.9,61.0,0.0,0.0,0,0,43,3,2,19
44,1,2020-06-02 20:00:00,8066.951999999998,19.9,3.1,65.0,0.0,0.0,0,0,44,3,2,20
45,1,2020-06-02 21:00:00,8111.664000000002,19.6,2.7,70.0,0.0,0.0,0,0,45,3,2,21
46,1,2020-06-02 22:00:00,8140.824,19.3,2.2,74.0,0.0,0.0,0,0,46,3,2,22
47,1,2020-06-02 23:00:00,8120.088000000002,19.0,1.7,79.0,0.0,0.0,0,0,47,3,2,23
48,1,2020-06-03 00:00:00,8114.904,18.4,1.7,84.0,0.1,0.0,0,0,48,3,3,0
49,1,2020-06-03 01:00:00,8094.816,18.3,2.0,86.0,0.0,0.0,0,0,49,3,3,1
50,1,2020-06-03 02:00:00,8090.28,18.2,1.8,89.0,0.0,0.0,0,0,50,3,3,2
51,1,2020-06-03 03:00:00,8091.576,18.2,1.3,89.0,0.0,0.0,0,0,51,3,3,3
52,1,2020-06-03 04:00:00,8057.88,18.1,1.5,87.0,0.0,0.0,0,0,52,3,3,4
53,1,2020-06-03 05:00:00,8038.44,18.1,1.3,88.0,0.0,0.0,0,0,53,3,3,5
54,1,2020-06-03 06:00:00,8019.648,17.6,0.4,89.0,0.0,0.0,0,0,54,3,3,6
55,1,2020-06-03 07:00:00,8094.816,18.3,1.8,88.0,0.0,0.3,0,0,55,3,3,7
56,1,2020-06-03 08:00:00,8151.84,19.7,2.0,82.0,0.0,0.9,0,0,56,3,3,8
57,1,2020-06-03 09:00:00,8201.088,20.8,0.8,76.0,0.0,0.4,0,0,57,3,3,9
58,1,2020-06-03 10:00:00,8261.351999999999,22.0,1.4,73.0,0.0,0.2,0,0,58,3,3,10
59,1,2020-06-03 11:00:00,8278.2,23.1,2.2,68.0,0.0,0.3,0,0,59,3,3,11
60,1,2020-06-03 12:00:00,8319.671999999999,24.4,2.6,58.0,0.0,0.6,0,0,60,3,3,12
61,1,2020-06-03 13:00:00,8363.735999999999,26.1,2.2,55.0,0.0,1.0,0,0,61,3,3,13
62,1,2020-06-03 14:00:00,8458.992,26.8,2.7,50.0,0.0,1.0,0,0,62,3,3,14
63,1,2020-06-03 15:00:00,8483.616,27.9,2.5,52.0,0.0,1.0,0,0,63,3,3,15
64,1,2020-06-03 16:00:00,8506.944,28.2,2.8,48.0,0.0,1.0,0,0,64,3,3,16
65,1,2020-06-03 17:00:00,8530.92,28.1,3.8,49.0,0.0,1.0,0,0,65,3,3,17
66,1,2020-06-03 18:00:00,8655.984,26.1,4.5,60.0,0.0,1.0,0,0,66,3,3,18
67,1,2020-06-03 19:00:00,8461.584,23.8,4.8,68.0,0.0,0.8,0,0,67,3,3,19
68,1,2020-06-03 20:00:00,8344.296,21.0,5.2,80.0,0.0,0.0,0,0,68,3,3,20
69,1,2020-06-03 21:00:00,8322.912,20.5,3.1,81.0,0.0,0.0,0,0,69,3,3,21
70,1,2020-06-03 22:00:00,8271.72,20.4,2.4,81.0,0.0,0.0,0,0,70,3,3,22
71,1,2020-06-03 23:00:00,8255.52,20.1,2.2,81.0,0.0,0.0,0,0,71,3,3,23
72,1,2020-06-04 00:00:00,8254.872,20.1,1.5,81.0,0.0,0.0,0,0,72,3,4,0
73,1,2020-06-04 01:00:00,8230.896,20.0,2.2,83.0,0.0,0.0,0,0,73,3,4,1
74,1,2020-06-04 02:00:00,8245.8,20.1,1.0,84.0,0.0,0.0,0,0,74,3,4,2
75,1,2020-06-04 03:00:00,8257.464,20.4,2.6,86.0,0.0,0.0,0,0,75,3,4,3
76,1,2020-06-04 04:00:00,8240.616,20.5,2.0,88.0,0.0,0.0,0,0,76,3,4,4
77,1,2020-06-04 05:00:00,8308.008,20.3,2.0,91.0,0.0,0.0,0,0,77,3,4,5
78,1,2020-06-04 06:00:00,8262.0,20.1,3.0,91.0,0.1,0.0,0,0,78,3,4,6
79,1,2020-06-04 07:00:00,8296.992,20.1,2.2,90.0,0.0,0.0,0,0,79,3,4,7
80,1,2020-06-04 08:00:00,8328.096,20.1,3.5,89.0,0.1,0.0,0,0,80,3,4,8
81,1,2020-06-04 09:00:00,8347.536,20.6,3.1,90.0,0.0,0.0,0,0,81,3,4,9
82,1,2020-06-04 10:00:00,8363.735999999999,22.4,2.7,76.0,0.0,0.5,0,0,82,3,4,10
83,1,2020-06-04 11:00:00,8386.416,23.9,2.8,68.0,0.0,0.6,0,0,83,3,4,11
84,1,2020-06-04 12:00:00,8435.664,25.0,3.1,63.0,0.0,0.8,0,0,84,3,4,12
85,1,2020-06-04 13:00:00,8591.184000000001,26.0,3.1,60.0,0.0,1.0,0,0,85,3,4,13
