,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,Week,24Hour,holiday,Weekend
106080,53,2020-06-01 00:00:00,958.554,19.9,1.4,83.0,0.0,0.0,1,0,0,1,0,0,0
106081,53,2020-06-01 01:00:00,924.21,19.3,0.9,89.0,0.0,0.0,1,0,1,1,1,0,0
106082,53,2020-06-01 02:00:00,920.484,18.5,0.7,94.0,0.2,0.0,1,0,2,1,2,0,0
106083,53,2020-06-01 03:00:00,921.618,18.5,0.3,96.0,0.4,0.0,1,0,3,1,3,0,0
106084,53,2020-06-01 04:00:00,916.11,18.6,1.5,95.0,0.0,0.0,1,0,4,1,4,0,0
106085,53,2020-06-01 05:00:00,951.102,18.5,1.1,92.0,0.0,0.0,1,0,5,1,5,0,0
106086,53,2020-06-01 06:00:00,982.692,18.3,1.3,95.0,0.0,0.0,1,0,6,1,6,0,0
106087,53,2020-06-01 07:00:00,988.524,18.6,1.5,89.0,0.0,0.0,1,0,7,1,7,0,0
106088,53,2020-06-01 08:00:00,1097.226,19.5,1.9,81.0,0.0,0.2,1,0,8,1,8,0,0
106089,53,2020-06-01 09:00:00,1171.26,20.7,3.0,68.0,0.0,1.0,1,0,9,1,9,0,0
106090,53,2020-06-01 10:00:00,1237.194,21.9,3.1,61.0,0.0,1.0,1,0,10,1,10,0,0
106091,53,2020-06-01 11:00:00,1288.224,23.2,3.4,50.0,0.0,1.0,1,0,11,1,11,0,0
106092,53,2020-06-01 12:00:00,1225.206,24.4,2.9,45.0,0.0,1.0,1,0,12,1,12,0,0
106093,53,2020-06-01 13:00:00,1268.46,25.3,4.1,38.0,0.0,1.0,1,0,13,1,13,0,0
106094,53,2020-06-01 14:00:00,1292.436,26.1,3.4,36.0,0.0,1.0,1,0,14,1,14,0,0
106095,53,2020-06-01 15:00:00,1443.906,26.1,3.3,35.0,0.0,1.0,1,0,15,1,15,0,0
106096,53,2020-06-01 16:00:00,1405.026,26.1,2.1,36.0,0.0,1.0,1,0,16,1,16,0,0
106097,53,2020-06-01 17:00:00,1300.536,25.3,3.2,34.0,0.0,1.0,1,0,17,1,17,0,0
106098,53,2020-06-01 18:00:00,1181.142,24.6,3.4,31.0,0.0,1.0,1,0,18,1,18,0,0
