,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,Week,24Hour,holiday,Weekend
44880,23,2020-06-01 00:00:00,1395.495,19.9,1.4,83.0,0.0,0.0,0,1,0,1,0,0,0
44881,23,2020-06-01 01:00:00,1375.515,19.3,0.9,89.0,0.0,0.0,0,1,1,1,1,0,0
44882,23,2020-06-01 02:00:00,1361.475,18.5,0.7,94.0,0.2,0.0,0,1,2,1,2,0,0
44883,23,2020-06-01 03:00:00,1356.885,18.5,0.3,96.0,0.4,0.0,0,1,3,1,3,0,0
44884,23,2020-06-01 04:00:00,1355.98125,18.6,1.5,95.0,0.0,0.0,0,1,4,1,4,0,0
44885,23,2020-06-01 05:00:00,1355.823871,18.5,1.1,92.0,0.0,0.0,0,1,5,1,5,0,0
44886,23,2020-06-01 06:00:00,1443.015,18.3,1.3,95.0,0.0,0.0,0,1,6,1,6,0,0
44887,23,2020-06-01 07:00:00,1693.368,18.6,1.5,89.0,0.0,0.0,0,1,7,1,7,0,0
44888,23,2020-06-01 08:00:00,1779.39,19.5,1.9,81.0,0.0,0.2,0,1,8,1,8,0,0
44889,23,2020-06-01 09:00:00,1859.598725,20.7,3.0,68.0,0.0,1.0,0,1,9,1,9,0,0
44890,23,2020-06-01 10:00:00,2033.568,21.9,3.1,61.0,0.0,1.0,0,1,10,1,10,0,0
44891,23,2020-06-01 11:00:00,2023.047,23.2,3.4,50.0,0.0,1.0,0,1,11,1,11,0,0
44892,23,2020-06-01 12:00:00,1985.148,24.4,2.9,45.0,0.0,1.0,0,1,12,1,12,0,0
44893,23,2020-06-01 13:00:00,2046.204,25.3,4.1,38.0,0.0,1.0,0,1,13,1,13,0,0
44894,23,2020-06-01 14:00:00,2087.217,26.1,3.4,36.0,0.0,1.0,0,1,14,1,14,0,0
44895,23,2020-06-01 15:00:00,2080.989,26.1,3.3,35.0,0.0,1.0,0,1,15,1,15,0,0
44896,23,2020-06-01 16:00:00,2078.3185,26.1,2.1,36.0,0.0,1.0,0,1,16,1,16,0,0
44897,23,2020-06-01 17:00:00,1988.464063,25.3,3.2,34.0,0.0,1.0,0,1,17,1,17,0,0
44898,23,2020-06-01 18:00:00,1801.094602,24.6,3.4,31.0,0.0,1.0,0,1,18,1,18,0,0
44899,23,2020-06-01 19:00:00,1680.998143,22.7,2.4,32.0,0.0,1.0,0,1,19,1,19,0,0
44900,23,2020-06-01 20:00:00,1571.769,21.2,2.0,41.0,0.0,0.4,0,1,20,1,20,0,0
44901,23,2020-06-01 21:00:00,1513.314,19.7,0.6,46.0,0.0,0.0,0,1,21,1,21,0,0
44902,23,2020-06-01 22:00:00,1474.533,18.7,1.4,53.0,0.0,0.0,0,1,22,1,22,0,0
44903,23,2020-06-01 23:00:00,1423.518923,18.0,1.1,60.0,0.0,0.0,0,1,23,1,23,0,0
44904,23,2020-06-02 00:00:00,1399.945373,16.3,1.2,66.0,0.0,0.0,0,1,24,2,0,0,0
44905,23,2020-06-02 01:00:00,1377.3014460000004,16.2,1.2,72.0,0.0,0.0,0,1,25,2,1,0,0
44906,23,2020-06-02 02:00:00,1361.96625,16.3,0.7,77.0,0.0,0.0,0,1,26,2,2,0,0
44907,23,2020-06-02 03:00:00,1362.182918,16.1,0.4,78.0,0.0,0.0,0,1,27,2,3,0,0
44908,23,2020-06-02 04:00:00,1351.157596,15.7,0.8,78.0,0.0,0.0,0,1,28,2,4,0,0
44909,23,2020-06-02 05:00:00,1340.505,15.2,0.4,80.0,0.0,0.0,0,1,29,2,5,0,0
44910,23,2020-06-02 06:00:00,1432.773,15.1,0.1,80.0,0.0,0.0,0,1,30,2,6,0,0
44911,23,2020-06-02 07:00:00,1665.99,16.4,0.9,76.0,0.0,0.3,0,1,31,2,7,0,0
44912,23,2020-06-02 08:00:00,1729.134,17.4,0.7,73.0,0.0,0.2,0,1,32,2,8,0,0
44913,23,2020-06-02 09:00:00,1880.172,19.4,1.1,62.0,0.0,0.5,0,1,33,2,9,0,0
44914,23,2020-06-02 10:00:00,1976.832,20.6,0.7,58.0,0.0,0.0,0,1,34,2,10,0,0
44915,23,2020-06-02 11:00:00,2009.718,22.0,0.5,48.0,0.0,0.1,0,1,35,2,11,0,0
44916,23,2020-06-02 12:00:00,1998.54,22.2,1.5,54.0,0.0,0.1,0,1,36,2,12,0,0
44917,23,2020-06-02 13:00:00,2056.212,21.5,1.8,50.0,0.0,0.1,0,1,37,2,13,0,0
44918,23,2020-06-02 14:00:00,2114.397,20.5,2.4,61.0,0.0,0.0,0,1,38,2,14,0,0
44919,23,2020-06-02 15:00:00,2096.289,23.0,2.3,37.0,0.0,0.3,0,1,39,2,15,0,0
44920,23,2020-06-02 16:00:00,2105.73,22.9,1.1,42.0,0.0,0.2,0,1,40,2,16,0,0
44921,23,2020-06-02 17:00:00,1898.451,23.0,1.4,44.0,0.0,0.0,0,1,41,2,17,0,0
44922,23,2020-06-02 18:00:00,1767.637527,23.0,1.1,47.0,0.0,0.0,0,1,42,2,18,0,0
44923,23,2020-06-02 19:00:00,1669.2572,22.7,1.5,51.0,0.0,0.0,0,1,43,2,19,0,0
44924,23,2020-06-02 20:00:00,1584.963889,22.3,1.2,53.0,0.0,0.0,0,1,44,2,20,0,0
44925,23,2020-06-02 21:00:00,1551.98025,21.7,1.3,55.0,0.0,0.0,0,1,45,2,21,0,0
44926,23,2020-06-02 22:00:00,1501.7579999999996,21.1,2.1,61.0,0.0,0.0,0,1,46,2,22,0,0
44927,23,2020-06-02 23:00:00,1426.464,20.8,3.3,65.0,0.0,0.0,0,1,47,2,23,0,0
44928,23,2020-06-03 00:00:00,1409.787,20.6,1.5,70.0,0.0,0.0,0,1,48,3,0,0,0
44929,23,2020-06-03 01:00:00,1396.683,20.5,0.4,72.0,0.0,0.0,0,1,49,3,1,0,0
44930,23,2020-06-03 02:00:00,1384.956,20.6,0.9,76.0,0.0,0.0,0,1,50,3,2,0,0
