now step : 2, sMAPE score : 3.7563660673461428
now : 4, sMAPE score : 11.504394825666063
now : 10, sMAPE score : 10.275562456875509
now : 59, sMAPE score : 9.987798235709844
now : 19, sMAPE score : 8.9987168661145
now : 27, sMAPE score : 8.089117375169582
now : 5, sMAPE score : 7.098148427359364
now : 7, sMAPE score : 6.827358296588082
now : 18, sMAPE score : 6.369877748032887
now : 50, sMAPE score : 6.063516651804339

now step : 3, sMAPE score : 3.581508280028945
now : 59, sMAPE score : 15.77285567276515
now : 27, sMAPE score : 9.267527846982587
now : 5, sMAPE score : 8.995838200667883
now : 4, sMAPE score : 8.53254572044544
now : 18, sMAPE score : 7.614328736750307
now : 41, sMAPE score : 6.357375866858861
now : 11, sMAPE score : 6.287775234381384
now : 15, sMAPE score : 6.025498774267037

now step : 4, sMAPE score : 3.5708849236999467
now : 27, sMAPE score : 12.967543160852914
now : 59, sMAPE score : 8.958399645684942
now : 4, sMAPE score : 7.065325256294313
now : 48, sMAPE score : 6.551817303957154
now : 40, sMAPE score : 6.5337861017123195
now : 18, sMAPE score : 6.469804587180076

now step : 5, sMAPE score : 3.450253543964839
now : 59, sMAPE score : 11.412796263240178
now : 4, sMAPE score : 10.130870410568098
now : 5, sMAPE score : 7.926241651352499
now : 40, sMAPE score : 7.284609168112161
now : 10, sMAPE score : 6.592005478851068
now : 18, sMAPE score : 6.360925627556192
now : 48, sMAPE score : 6.219198037351965

now step : 6, sMAPE score : 3.4693878231397965
now : 4, sMAPE score : 16.80157682746533
now : 59, sMAPE score : 11.179272440479764
now : 29, sMAPE score : 7.09607384840576
now : 15, sMAPE score : 6.656318848395028

now step : 7, sMAPE score : 3.546184129907887
now : 4, sMAPE score : 12.462320426218884
now : 59, sMAPE score : 10.303979947580547
now : 30, sMAPE score : 8.826019020446411
now : 5, sMAPE score : 8.693408357541186
now : 42, sMAPE score : 7.200803245540323
now : 29, sMAPE score : 6.878594790538281
now : 18, sMAPE score : 6.180407497707651

now step : 8, sMAPE score : 3.4546702257856867
now : 4, sMAPE score : 10.21527589206741
now : 59, sMAPE score : 9.832048265823433
now : 25, sMAPE score : 9.231342528099473
now : 30, sMAPE score : 9.214654481573499
now : 5, sMAPE score : 8.532153737953367
now : 29, sMAPE score : 7.162074680261886
now : 42, sMAPE score : 7.153613254448571
now : 23, sMAPE score : 6.550848074169285

now step : 9, sMAPE score : 3.3469976297158004
now : 4, sMAPE score : 13.613808234664686
now : 59, sMAPE score : 10.119474652159445
now : 40, sMAPE score : 7.170149464997547
now : 29, sMAPE score : 7.061230763593698
now : 15, sMAPE score : 6.798085171219492
now : 5, sMAPE score : 6.522458205891869
now : 27, sMAPE score : 6.390586490810416
now : 18, sMAPE score : 6.215199788137977
now : 28, sMAPE score : 6.106766316194211

now step : 10, sMAPE score : 3.3368136786885274
now : 4, sMAPE score : 12.068785770049116
now : 59, sMAPE score : 10.794835437030004
now : 27, sMAPE score : 7.073660512746677
now : 5, sMAPE score : 6.63476039317669
now : 29, sMAPE score : 6.407194917470421
now : 42, sMAPE score : 6.140703334188017
now : 41, sMAPE score : 6.09843830340903

now step : 11, sMAPE score : 3.7924026734468734
now : 4, sMAPE score : 12.976931183520014
now : 42, sMAPE score : 11.745350743714368
now : 59, sMAPE score : 10.84257643216189
now : 27, sMAPE score : 7.716076099732216
now : 5, sMAPE score : 6.954891616184484
now : 14, sMAPE score : 6.673344569050621
now : 15, sMAPE score : 6.570520862673031
now : 29, sMAPE score : 6.4840115062255395
now : 40, sMAPE score : 6.04200408407439

now step : 12, sMAPE score : 3.540234421424383
now : 59, sMAPE score : 10.232825707103373
now : 4, sMAPE score : 9.767317030426856
now : 5, sMAPE score : 8.093494467231162
now : 42, sMAPE score : 7.203323080582902
now : 27, sMAPE score : 7.1297946358664115
now : 53, sMAPE score : 6.478333429492526
now : 45, sMAPE score : 6.433478608734177
now : 15, sMAPE score : 6.044497981354596
