,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,energy_group,Week,24Hour
6120,4,2020-06-01 00:00:00,339.552,22.6,0.7,62.0,0.0,0.0,1,1,0,1,1,0
6121,4,2020-06-01 01:00:00,387.504,21.7,1.7,67.0,0.0,0.0,1,1,1,1,1,1
6122,4,2020-06-01 02:00:00,203.472,21.4,2.0,69.0,0.0,0.0,1,1,2,1,1,2
6123,4,2020-06-01 03:00:00,186.192,20.9,1.7,71.0,0.0,0.0,1,1,3,1,1,3
6124,4,2020-06-01 04:00:00,185.76,20.7,1.8,73.0,0.0,0.0,1,1,4,1,1,4
6125,4,2020-06-01 05:00:00,196.56,20.5,1.7,74.0,0.0,0.0,1,1,5,1,1,5
6126,4,2020-06-01 06:00:00,204.336,20.6,1.2,73.0,0.0,0.0,1,1,6,1,1,6
6127,4,2020-06-01 07:00:00,221.18400000000003,21.3,2.2,70.0,0.0,0.0,1,1,7,1,1,7
6128,4,2020-06-01 08:00:00,288.576,21.8,2.4,69.0,0.0,0.3,1,1,8,1,1,8
6129,4,2020-06-01 09:00:00,500.6880000000001,23.0,2.7,64.0,0.0,1.0,1,1,9,1,1,9
6130,4,2020-06-01 10:00:00,629.856,25.5,3.8,55.0,0.0,1.0,1,1,10,1,1,10
6131,4,2020-06-01 11:00:00,684.288,26.9,5.1,43.0,0.0,1.0,1,1,11,1,1,11
6132,4,2020-06-01 12:00:00,663.552,26.9,4.6,41.0,0.0,0.8,1,1,12,1,1,12
6133,4,2020-06-01 13:00:00,962.064,27.8,5.0,32.0,0.0,1.0,1,1,13,1,1,13
6134,4,2020-06-01 14:00:00,842.4,28.0,5.4,29.0,0.0,1.0,1,1,14,1,1,14
6135,4,2020-06-01 15:00:00,1002.672,27.7,3.9,31.0,0.0,1.0,1,1,15,1,1,15
6136,4,2020-06-01 16:00:00,733.9680000000002,27.7,4.9,31.0,0.0,1.0,1,1,16,1,1,16
6137,4,2020-06-01 17:00:00,724.8960000000002,26.8,4.3,32.0,0.0,1.0,1,1,17,1,1,17
6138,4,2020-06-01 18:00:00,564.048,26.6,3.7,31.0,0.0,1.0,1,1,18,1,1,18
6139,4,2020-06-01 19:00:00,468.72,25.9,5.1,30.0,0.0,0.8,1,1,19,1,1,19
6140,4,2020-06-01 20:00:00,418.176,24.4,3.0,31.0,0.0,0.3,1,1,20,1,1,20
6141,4,2020-06-01 21:00:00,373.2480000000001,23.2,2.2,31.0,0.0,0.0,1,1,21,1,1,21
6142,4,2020-06-01 22:00:00,383.184,22.3,1.8,32.0,0.0,0.0,1,1,22,1,1,22
6143,4,2020-06-01 23:00:00,407.376,20.9,1.3,38.0,0.0,0.0,1,1,23,1,1,23
