,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,energy_group,Week,24Hour,holiday,Weekend
0,6,2020-06-01 00:00:00,527.58,17.0,2.0,100.0,1.1,0.0,0,0,0,2,1,0,0,0
1,6,2020-06-01 01:00:00,518.94,17.2,2.3,99.0,0.1,0.0,0,0,1,2,1,1,0,0
2,6,2020-06-01 02:00:00,511.38,17.2,3.7,98.0,0.0,0.0,0,0,2,2,1,2,0,0
3,6,2020-06-01 03:00:00,514.62,16.7,3.1,99.0,0.0,0.0,0,0,3,2,1,3,0,0
4,6,2020-06-01 04:00:00,503.82,16.9,3.5,98.0,0.0,0.0,0,0,4,2,1,4,0,0
5,6,2020-06-01 05:00:00,509.22,16.6,3.6,99.0,0.0,0.0,0,0,5,2,1,5,0,0
6,6,2020-06-01 06:00:00,557.28,16.7,2.4,99.0,0.1,0.0,0,0,6,2,1,6,0,0
7,6,2020-06-01 07:00:00,682.02,16.9,3.3,94.0,0.0,0.2,0,0,7,2,1,7,0,0
8,6,2020-06-01 08:00:00,1094.04,17.9,2.7,88.0,0.0,0.4,0,0,8,2,1,8,0,0
9,6,2020-06-01 09:00:00,1595.7,19.5,2.7,78.0,0.0,0.9,0,0,9,2,1,9,0,0
10,6,2020-06-01 10:00:00,1776.06,20.7,3.2,68.0,0.0,1.0,0,0,10,2,1,10,0,0
11,6,2020-06-01 11:00:00,1738.26,22.4,3.4,58.0,0.0,1.0,0,0,11,2,1,11,0,0
12,6,2020-06-01 12:00:00,1649.7,23.2,4.8,49.0,0.0,1.0,0,0,12,2,1,12,0,0
13,6,2020-06-01 13:00:00,1756.08,22.8,4.3,45.0,0.0,1.0,0,0,13,2,1,13,0,0
14,6,2020-06-01 14:00:00,1737.18,23.6,4.4,47.0,0.0,1.0,0,0,14,2,1,14,0,0
15,6,2020-06-01 15:00:00,1763.64,23.1,5.3,45.0,0.0,1.0,0,0,15,2,1,15,0,0
16,6,2020-06-01 16:00:00,1719.9,22.9,5.2,43.0,0.0,1.0,0,0,16,2,1,16,0,0
17,6,2020-06-01 17:00:00,1602.72,22.2,4.6,44.0,0.0,1.0,0,0,17,2,1,17,0,0
18,6,2020-06-01 18:00:00,1224.18,21.6,4.6,50.0,0.0,1.0,0,0,18,2,1,18,0,0
19,6,2020-06-01 19:00:00,953.64,19.9,2.5,58.0,0.0,1.0,0,0,19,2,1,19,0,0
20,6,2020-06-01 20:00:00,820.26,17.3,1.9,72.0,0.0,0.3,0,0,20,2,1,20,0,0
21,6,2020-06-01 21:00:00,726.84,16.1,2.8,80.0,0.0,0.0,0,0,21,2,1,21,0,0
22,6,2020-06-01 22:00:00,663.12,15.2,1.2,87.0,0.0,0.0,0,0,22,2,1,22,0,0
23,6,2020-06-01 23:00:00,627.48,14.6,0.5,90.0,0.0,0.0,0,0,23,2,1,23,0,0
24,6,2020-06-02 00:00:00,601.02,14.1,0.5,94.0,0.0,0.0,0,0,24,2,2,0,0,0
25,6,2020-06-02 01:00:00,570.78,13.6,0.2,94.0,0.0,0.0,0,0,25,2,2,1,0,0
26,6,2020-06-02 02:00:00,545.4,13.8,0.9,92.0,0.0,0.0,0,0,26,2,2,2,0,0
27,6,2020-06-02 03:00:00,551.88,13.9,0.4,95.0,0.0,0.0,0,0,27,2,2,3,0,0
28,6,2020-06-02 04:00:00,527.58,13.2,0.1,97.0,0.0,0.0,0,0,28,2,2,4,0,0
29,6,2020-06-02 05:00:00,524.88,13.4,0.7,98.0,0.0,0.0,0,0,29,2,2,5,0,0
30,6,2020-06-02 06:00:00,570.78,14.5,0.4,96.0,0.0,0.0,0,0,30,2,2,6,0,0
31,6,2020-06-02 07:00:00,735.48,15.7,0.3,91.0,0.0,0.0,0,0,31,2,2,7,0,0
32,6,2020-06-02 08:00:00,1074.06,16.5,0.9,81.0,0.0,0.0,0,0,32,2,2,8,0,0
33,6,2020-06-02 09:00:00,1513.62,17.8,1.6,69.0,0.0,0.0,0,0,33,2,2,9,0,0
34,6,2020-06-02 10:00:00,1662.12,18.7,0.7,64.0,0.0,0.0,0,0,34,2,2,10,0,0
