,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,Week,24Hour,holiday,Weekend
73440,37,2020-06-01 00:00:00,1476.72,19.9,1.9,60.0,0.0,0.0,1,1,0,1,0,0,0
73441,37,2020-06-01 01:00:00,1469.25,17.1,1.5,84.0,0.7,0.0,1,1,1,1,1,0,0
73442,37,2020-06-01 02:00:00,1471.5179999999998,16.9,0.5,88.0,0.4,0.0,1,1,2,1,2,0,0
73443,37,2020-06-01 03:00:00,1469.934,17.1,1.1,88.0,0.5,0.0,1,1,3,1,3,0,0
73444,37,2020-06-01 04:00:00,1482.21,17.3,1.0,88.0,0.0,0.0,1,1,4,1,4,0,0
73445,37,2020-06-01 05:00:00,1521.072,17.4,1.2,87.0,0.2,0.0,1,1,5,1,5,0,0
73446,37,2020-06-01 06:00:00,1626.39,17.6,1.0,83.0,0.0,0.0,1,1,6,1,6,0,0
73447,37,2020-06-01 07:00:00,1906.29,18.0,1.1,79.0,0.0,0.0,1,1,7,1,7,0,0
73448,37,2020-06-01 08:00:00,2069.928,18.3,1.6,75.0,0.0,0.2,1,1,8,1,8,0,0
73449,37,2020-06-01 09:00:00,2164.509,19.1,2.7,64.0,0.0,0.8,1,1,9,1,9,0,0
73450,37,2020-06-01 10:00:00,2146.896,20.6,2.7,54.0,0.0,0.9,1,1,10,1,10,0,0
73451,37,2020-06-01 11:00:00,2334.222,21.6,2.5,47.0,0.0,0.9,1,1,11,1,11,0,0
73452,37,2020-06-01 12:00:00,2262.24,23.5,2.4,40.0,0.0,1.0,1,1,12,1,12,0,0
73453,37,2020-06-01 13:00:00,2275.488,24.1,3.0,33.0,0.0,1.0,1,1,13,1,13,0,0
73454,37,2020-06-01 14:00:00,2202.66985,24.6,3.6,28.0,0.0,1.0,1,1,14,1,14,0,0
73455,37,2020-06-01 15:00:00,2146.8917,24.6,3.1,27.0,0.0,1.0,1,1,15,1,15,0,0
73456,37,2020-06-01 16:00:00,2163.7215,24.4,3.2,29.0,0.0,1.0,1,1,16,1,16,0,0
73457,37,2020-06-01 17:00:00,2164.032,23.9,3.0,29.0,0.0,1.0,1,1,17,1,17,0,0
73458,37,2020-06-01 18:00:00,1832.112,23.1,2.3,32.0,0.0,1.0,1,1,18,1,18,0,0
73459,37,2020-06-01 19:00:00,1737.198,21.8,2.1,34.0,0.0,1.0,1,1,19,1,19,0,0
73460,37,2020-06-01 20:00:00,1655.874,20.5,1.8,35.0,0.0,0.4,1,1,20,1,20,0,0
73461,37,2020-06-01 21:00:00,1600.7579999999996,19.4,1.6,38.0,0.0,0.0,1,1,21,1,21,0,0
73462,37,2020-06-01 22:00:00,1554.989526,18.3,0.7,43.0,0.0,0.0,1,1,22,1,22,0,0
73463,37,2020-06-01 23:00:00,1785.987,18.0,0.5,47.0,0.0,0.0,1,1,23,1,23,0,0
73464,37,2020-06-02 00:00:00,1792.818,16.2,0.8,53.0,0.0,0.0,1,1,24,2,0,0,0
73465,37,2020-06-02 01:00:00,1760.04,15.9,0.4,54.0,0.0,0.0,1,1,25,2,1,0,0
73466,37,2020-06-02 02:00:00,1726.803,15.2,0.8,59.0,0.0,0.0,1,1,26,2,2,0,0
73467,37,2020-06-02 03:00:00,1748.110393,14.7,1.1,66.0,0.0,0.0,1,1,27,2,3,0,0
73468,37,2020-06-02 04:00:00,1752.632342,14.0,0.4,69.0,0.0,0.0,1,1,28,2,4,0,0
73469,37,2020-06-02 05:00:00,1780.674768,13.7,0.3,70.0,0.0,0.0,1,1,29,2,5,0,0
73470,37,2020-06-02 06:00:00,1824.0543,13.8,0.5,70.0,0.0,0.0,1,1,30,2,6,0,0
73471,37,2020-06-02 07:00:00,1731.654,14.2,0.3,70.0,0.0,0.1,1,1,31,2,7,0,0
73472,37,2020-06-02 08:00:00,1866.798,15.1,0.5,67.0,0.0,0.0,1,1,32,2,8,0,0
73473,37,2020-06-02 09:00:00,2148.678,16.4,0.8,61.0,0.0,0.0,1,1,33,2,9,0,0
73474,37,2020-06-02 10:00:00,2179.8,18.4,1.1,52.0,0.0,0.3,1,1,34,2,10,0,0
73475,37,2020-06-02 11:00:00,2165.544,19.2,1.4,50.0,0.0,0.0,1,1,35,2,11,0,0
73476,37,2020-06-02 12:00:00,2127.906,19.7,0.9,47.0,0.0,0.0,1,1,36,2,12,0,0
73477,37,2020-06-02 13:00:00,2158.3998890000007,20.2,0.6,46.0,0.0,0.0,1,1,37,2,13,0,0
73478,37,2020-06-02 14:00:00,2151.267191,23.2,2.9,25.0,0.0,0.2,1,1,38,2,14,0,0
73479,37,2020-06-02 15:00:00,2172.310136,24.9,3.1,20.0,0.0,0.7,1,1,39,2,15,0,0
73480,37,2020-06-02 16:00:00,2167.7565,24.3,2.2,20.0,0.0,0.1,1,1,40,2,16,0,0
73481,37,2020-06-02 17:00:00,2147.688,23.2,1.5,26.0,0.0,0.0,1,1,41,2,17,0,0
73482,37,2020-06-02 18:00:00,1837.314,22.8,1.1,31.0,0.0,0.0,1,1,42,2,18,0,0
