,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,Week,24Hour
116280,58,2020-06-01 00:00:00,580.6080000000002,17.6,2.5,92.0,0.8,0.0,1,0,0,1,0
116281,58,2020-06-01 01:00:00,538.164,17.7,2.9,91.0,0.3,0.0,1,0,1,1,1
116282,58,2020-06-01 02:00:00,529.254,17.5,3.2,91.0,0.0,0.0,1,0,2,1,2
116283,58,2020-06-01 03:00:00,531.846,17.1,3.2,91.0,0.0,0.0,1,0,3,1,3
116284,58,2020-06-01 04:00:00,549.99,17.0,3.3,92.0,0.0,0.0,1,0,4,1,4
116285,58,2020-06-01 05:00:00,659.988,16.9,3.4,93.0,0.0,0.0,1,0,5,1,5
116286,58,2020-06-01 06:00:00,711.828,16.7,3.4,90.0,0.1,0.0,1,0,6,1,6
116287,58,2020-06-01 07:00:00,868.806,16.9,2.3,86.0,0.0,0.1,1,0,7,1,7
116288,58,2020-06-01 08:00:00,1047.168,17.8,3.3,80.0,0.0,0.3,1,0,8,1,8
116289,58,2020-06-01 09:00:00,1123.632,19.3,2.1,73.0,0.0,0.7,1,0,9,1,9
116290,58,2020-06-01 10:00:00,1085.076,20.5,3.4,62.0,0.0,1.0,1,0,10,1,10
116291,58,2020-06-01 11:00:00,1113.102,22.1,3.6,52.0,0.0,1.0,1,0,11,1,11
116292,58,2020-06-01 12:00:00,1112.616,23.1,4.0,49.0,0.0,1.0,1,0,12,1,12
116293,58,2020-06-01 13:00:00,1110.8339999999996,23.1,5.1,42.0,0.0,1.0,1,0,13,1,13
116294,58,2020-06-01 14:00:00,1139.508,23.6,5.1,39.0,0.0,1.0,1,0,14,1,14
116295,58,2020-06-01 15:00:00,1087.668,23.8,5.5,40.0,0.0,1.0,1,0,15,1,15
116296,58,2020-06-01 16:00:00,1090.098,24.4,3.0,39.0,0.0,1.0,1,0,16,1,16
116297,58,2020-06-01 17:00:00,1096.4160000000004,23.6,4.4,41.0,0.0,1.0,1,0,17,1,17
116298,58,2020-06-01 18:00:00,952.236,22.7,4.1,42.0,0.0,1.0,1,0,18,1,18
116299,58,2020-06-01 19:00:00,839.97,21.3,4.2,44.0,0.0,1.0,1,0,19,1,19
116300,58,2020-06-01 20:00:00,821.826,19.8,2.5,51.0,0.0,0.4,1,0,20,1,20
116301,58,2020-06-01 21:00:00,780.3539999999998,18.6,2.5,55.0,0.0,0.0,1,0,21,1,21
116302,58,2020-06-01 22:00:00,623.214,17.9,2.0,62.0,0.0,0.0,1,0,22,1,22
116303,58,2020-06-01 23:00:00,612.36,17.2,2.0,68.0,0.0,0.0,1,0,23,1,23
