num_date_time,answer
1 2020-08-25 00,8695.19140625
1 2020-08-25 01,8669.2578125
1 2020-08-25 02,8672.7998046875
1 2020-08-25 03,8654.830078125
1 2020-08-25 04,8650.154296875
1 2020-08-25 05,8611.0634765625
1 2020-08-25 06,8581.388671875
1 2020-08-25 07,8619.435546875
1 2020-08-25 08,8650.15625
1 2020-08-25 09,8708.587890625
1 2020-08-25 10,8738.1953125
1 2020-08-25 11,8755.5625
1 2020-08-25 12,8776.0537109375
1 2020-08-25 13,8781.0556640625
1 2020-08-25 14,8803.9501953125
1 2020-08-25 15,8811.0703125
1 2020-08-25 16,8801.5517578125
1 2020-08-25 17,8801.591796875
1 2020-08-25 18,8784.2626953125
1 2020-08-25 19,8757.83984375
1 2020-08-25 20,8741.2431640625
1 2020-08-25 21,8718.5390625
1 2020-08-25 22,8721.8115234375
1 2020-08-25 23,8718.8916015625
1 2020-08-26 00,8722.5380859375
1 2020-08-26 01,8683.5087890625
1 2020-08-26 02,8676.5478515625
1 2020-08-26 03,8660.0791015625
1 2020-08-26 04,8653.2451171875
1 2020-08-26 05,8652.3798828125
1 2020-08-26 06,8648.5869140625
1 2020-08-26 07,8678.455078125
1 2020-08-26 08,8712.341796875
1 2020-08-26 09,8768.7421875
1 2020-08-26 10,8793.2890625
1 2020-08-26 11,8803.6181640625
1 2020-08-26 12,8810.5458984375
1 2020-08-26 13,8807.2138671875
1 2020-08-26 14,8823.4560546875
1 2020-08-26 15,8828.5361328125
1 2020-08-26 16,8814.6533203125
1 2020-08-26 17,8813.0390625
1 2020-08-26 18,8795.6513671875
1 2020-08-26 19,8767.521484375
1 2020-08-26 20,8741.5419921875
1 2020-08-26 21,8708.685546875
1 2020-08-26 22,8701.7314453125
1 2020-08-26 23,8681.736328125
1 2020-08-27 00,8687.40234375
1 2020-08-27 01,8658.0146484375
1 2020-08-27 02,8650.232421875
1 2020-08-27 03,8635.3759765625
1 2020-08-27 04,8631.8251953125
1 2020-08-27 05,8639.1787109375
1 2020-08-27 06,8645.1240234375
1 2020-08-27 07,8667.326171875
1 2020-08-27 08,8666.078125
1 2020-08-27 09,8727.42578125
1 2020-08-27 10,8753.017578125
