num_date_time,answer
1 2020-08-25 00,8695.400390625
1 2020-08-25 01,8668.1455078125
1 2020-08-25 02,8673.0146484375
1 2020-08-25 03,8656.6845703125
1 2020-08-25 04,8654.5625
1 2020-08-25 05,8622.1298828125
1 2020-08-25 06,8592.560546875
1 2020-08-25 07,8624.482421875
1 2020-08-25 08,8656.076171875
1 2020-08-25 09,8709.1357421875
1 2020-08-25 10,8737.1240234375
1 2020-08-25 11,8753.7646484375
1 2020-08-25 12,8773.7333984375
1 2020-08-25 13,8780.2138671875
1 2020-08-25 14,8803.736328125
1 2020-08-25 15,8811.662109375
1 2020-08-25 16,8802.0244140625
1 2020-08-25 17,8802.7509765625
1 2020-08-25 18,8785.6904296875
1 2020-08-25 19,8759.767578125
1 2020-08-25 20,8741.6416015625
1 2020-08-25 21,8718.8310546875
1 2020-08-25 22,8720.720703125
1 2020-08-25 23,8718.0771484375
1 2020-08-26 00,8721.904296875
1 2020-08-26 01,8683.330078125
1 2020-08-26 02,8675.5859375
1 2020-08-26 03,8659.724609375
1 2020-08-26 04,8651.7568359375
1 2020-08-26 05,8650.4052734375
1 2020-08-26 06,8646.9287109375
1 2020-08-26 07,8679.0556640625
1 2020-08-26 08,8713.3330078125
1 2020-08-26 09,8769.900390625
1 2020-08-26 10,8794.4384765625
1 2020-08-26 11,8804.640625
1 2020-08-26 12,8811.806640625
1 2020-08-26 13,8808.17578125
1 2020-08-26 14,8824.7275390625
1 2020-08-26 15,8829.9560546875
1 2020-08-26 16,8815.5
1 2020-08-26 17,8814.150390625
1 2020-08-26 18,8795.7421875
1 2020-08-26 19,8768.4208984375
1 2020-08-26 20,8741.7802734375
1 2020-08-26 21,8709.0146484375
1 2020-08-26 22,8701.19140625
1 2020-08-26 23,8681.2236328125
1 2020-08-27 00,8687.486328125
1 2020-08-27 01,8658.048828125
1 2020-08-27 02,8650.162109375
1 2020-08-27 03,8635.2822265625
1 2020-08-27 04,8631.408203125
1 2020-08-27 05,8638.859375
1 2020-08-27 06,8644.7880859375
1 2020-08-27 07,8667.4658203125
1 2020-08-27 08,8666.466796875
1 2020-08-27 09,8728.25390625
1 2020-08-27 10,8754.0732421875
1 2020-08-27 11,8763.244140625
1 2020-08-27 12,8756.9697265625
1 2020-08-27 13,8785.986328125
1 2020-08-27 14,8802.5576171875
1 2020-08-27 15,8808.744140625
1 2020-08-27 16,8795.19921875
1 2020-08-27 17,8768.7587890625
1 2020-08-27 18,8720.8369140625
1 2020-08-27 19,8697.53515625
1 2020-08-27 20,8695.8193359375
1 2020-08-27 21,8683.916015625
1 2020-08-27 22,8682.33203125
1 2020-08-27 23,8666.6318359375
1 2020-08-28 00,8669.5712890625
1 2020-08-28 01,8647.92578125
1 2020-08-28 02,8637.54296875
1 2020-08-28 03,8619.990234375
